dataset,method,feature,score,rank
finance,abs_correlation,num__loan_to_income,0.27320840889535225,1
finance,abs_correlation,num__annual_income,0.2225266741872518,2
finance,abs_correlation,num__credit_score,0.16009343236720297,3
finance,abs_correlation,num__loan_amount,0.1524491066814414,4
finance,abs_correlation,num__delinquency_count,0.10008458898687854,5
finance,abs_correlation,cat__previous_default_no,0.09775444002900727,6
finance,abs_correlation,cat__previous_default_yes,0.09775444002900727,7
finance,abs_correlation,num__utilization_ratio,0.08001521272601413,8
finance,abs_correlation,num__savings_balance,0.06509562654470213,9
finance,abs_correlation,cat__employment_type_unemployed,0.06145387118459922,10
finance,abs_correlation,num__employment_years,0.057053623716772195,11
finance,abs_correlation,cat__housing_status_mortgage,0.0354138415398835,12
finance,abs_correlation,cat__employment_type_salaried,0.03041634263952559,13
finance,abs_correlation,cat__housing_status_rent,0.027524818441724483,14
finance,abs_correlation,num__age,0.025015487715341,15
finance,abs_correlation,cat__employment_type_self_employed,0.013837941062795447,16
finance,abs_correlation,cat__purpose_education,0.011807740369450988,17
finance,abs_correlation,cat__housing_status_own,0.011076988491542332,18
finance,abs_correlation,num__open_credit_lines,0.010268731750350571,19
finance,abs_correlation,cat__purpose_car,0.009109074031446484,20
finance,abs_correlation,cat__purpose_home_improvement,0.008808361242656219,21
finance,abs_correlation,cat__purpose_consumer,0.007904288965779629,22
finance,f_classif,num__loan_to_income,70.82282530004196,1
finance,f_classif,num__annual_income,45.7419662009386,2
finance,f_classif,num__credit_score,23.094980630215595,3
finance,f_classif,num__loan_amount,20.890880365057196,4
finance,f_classif,num__delinquency_count,8.883848956736962,5
finance,f_classif,cat__previous_default_no,8.471055840102084,6
finance,f_classif,cat__previous_default_yes,8.471055840101878,7
finance,f_classif,num__utilization_ratio,5.657559439368942,8
finance,f_classif,num__savings_balance,3.736305214017273,9
finance,f_classif,cat__employment_type_unemployed,3.3284057177298547,10
finance,f_classif,num__employment_years,2.8673253061725212,11
finance,f_classif,cat__housing_status_mortgage,1.1025177833964668,12
finance,f_classif,cat__employment_type_salaried,0.8130373084544115,13
finance,f_classif,cat__housing_status_rent,0.6656908611608012,14
finance,f_classif,num__age,0.549774156025411,15
finance,f_classif,cat__employment_type_self_employed,0.16815920266123754,16
finance,f_classif,cat__purpose_education,0.12243022880828311,17
finance,f_classif,cat__housing_status_own,0.10774353390516074,18
finance,f_classif,num__open_credit_lines,0.09259209939123622,19
finance,f_classif,cat__purpose_car,0.07285829711968946,20
finance,f_classif,cat__purpose_home_improvement,0.0681268717669658,21
finance,f_classif,cat__purpose_consumer,0.05485892186379069,22
finance,mutual_info,num__annual_income,0.04128545681366802,1
finance,mutual_info,num__loan_to_income,0.037176088731528445,2
finance,mutual_info,num__loan_amount,0.03651695886272366,3
finance,mutual_info,cat__previous_default_yes,0.03520977194840902,4
finance,mutual_info,num__credit_score,0.03388280443512892,5
finance,mutual_info,cat__previous_default_no,0.02513576266149853,6
finance,mutual_info,num__open_credit_lines,0.022708139626307355,7
finance,mutual_info,cat__purpose_consumer,0.019314054072443465,8
finance,mutual_info,num__age,0.014136157977612696,9
finance,mutual_info,num__delinquency_count,0.012480503260812181,10
finance,mutual_info,num__utilization_ratio,0.011408343231239959,11
finance,mutual_info,cat__housing_status_rent,0.009674810711461257,12
finance,mutual_info,cat__employment_type_self_employed,0.0074636519693167536,13
finance,mutual_info,cat__purpose_home_improvement,0.006703399005169475,14
finance,mutual_info,num__employment_years,0.0,15
finance,mutual_info,num__savings_balance,0.0,16
finance,mutual_info,cat__employment_type_unemployed,0.0,17
finance,mutual_info,cat__employment_type_salaried,0.0,18
finance,mutual_info,cat__housing_status_mortgage,0.0,19
finance,mutual_info,cat__housing_status_own,0.0,20
finance,mutual_info,cat__purpose_car,0.0,21
finance,mutual_info,cat__purpose_education,0.0,22
finance,variance,num__age,1.0000000000000049,1
finance,variance,num__delinquency_count,1.0000000000000029,2
