dataset,variance_threshold,top_n,shortlist_json,overlap_with_baseline
medical,0.0,8,"[""num__age"", ""num__cholesterol"", ""num__systolic_bp"", ""num__glucose"", ""num__physical_activity_hours"", ""num__stress_level"", ""num__diastolic_bp"", ""num__resting_heart_rate""]",8
medical,0.0,10,"[""num__age"", ""num__cholesterol"", ""num__systolic_bp"", ""num__glucose"", ""num__physical_activity_hours"", ""num__stress_level"", ""num__diastolic_bp"", ""num__resting_heart_rate"", ""num__bmi"", ""cat__smoking_status_never""]",10
medical,0.0,12,"[""num__age"", ""num__cholesterol"", ""num__systolic_bp"", ""num__glucose"", ""num__physical_activity_hours"", ""num__stress_level"", ""num__diastolic_bp"", ""num__resting_heart_rate"", ""num__bmi"", ""cat__smoking_status_never"", ""cat__sex_female"", ""cat__sex_male""]",12
medical,0.005,8,"[""num__age"", ""num__cholesterol"", ""num__systolic_bp"", ""num__glucose"", ""num__physical_activity_hours"", ""num__stress_level"", ""num__diastolic_bp"", ""num__resting_heart_rate""]",8
medical,0.005,10,"[""num__age"", ""num__cholesterol"", ""num__systolic_bp"", ""num__glucose"", ""num__physical_activity_hours"", ""num__stress_level"", ""num__diastolic_bp"", ""num__resting_heart_rate"", ""num__bmi"", ""cat__smoking_status_never""]",10
medical,0.005,12,"[""num__age"", ""num__cholesterol"", ""num__systolic_bp"", ""num__glucose"", ""num__physical_activity_hours"", ""num__stress_level"", ""num__diastolic_bp"", ""num__resting_heart_rate"", ""num__bmi"", ""cat__smoking_status_never"", ""cat__sex_female"", ""cat__sex_male""]",12
medical,0.01,8,"[""num__age"", ""num__cholesterol"", ""num__systolic_bp"", ""num__glucose"", ""num__physical_activity_hours"", ""num__stress_level"", ""num__diastolic_bp"", ""num__resting_heart_rate""]",8
medical,0.01,10,"[""num__age"", ""num__cholesterol"", ""num__systolic_bp"", ""num__glucose"", ""num__physical_activity_hours"", ""num__stress_level"", ""num__diastolic_bp"", ""num__resting_heart_rate"", ""num__bmi"", ""cat__smoking_status_never""]",10
medical,0.01,12,"[""num__age"", ""num__cholesterol"", ""num__systolic_bp"", ""num__glucose"", ""num__physical_activity_hours"", ""num__stress_level"", ""num__diastolic_bp"", ""num__resting_heart_rate"", ""num__bmi"", ""cat__smoking_status_never"", ""cat__sex_female"", ""cat__sex_male""]",12
medical,0.02,8,"[""num__age"", ""num__cholesterol"", ""num__systolic_bp"", ""num__glucose"", ""num__physical_activity_hours"", ""num__stress_level"", ""num__diastolic_bp"", ""num__resting_heart_rate""]",8
medical,0.02,10,"[""num__age"", ""num__cholesterol"", ""num__systolic_bp"", ""num__glucose"", ""num__physical_activity_hours"", ""num__stress_level"", ""num__diastolic_bp"", ""num__resting_heart_rate"", ""num__bmi"", ""cat__smoking_status_never""]",10
medical,0.02,12,"[""num__age"", ""num__cholesterol"", ""num__systolic_bp"", ""num__glucose"", ""num__physical_activity_hours"", ""num__stress_level"", ""num__diastolic_bp"", ""num__resting_heart_rate"", ""num__bmi"", ""cat__smoking_status_never"", ""cat__sex_female"", ""cat__sex_male""]",12
finance,0.0,8,"[""num__loan_to_income"", ""num__annual_income"", ""num__credit_score"", ""num__loan_amount"", ""num__delinquency_count"", ""num__utilization_ratio"", ""cat__previous_default_yes"", ""cat__previous_default_no""]",8
finance,0.0,10,"[""num__loan_to_income"", ""num__annual_income"", ""num__credit_score"", ""num__loan_amount"", ""num__delinquency_count"", ""num__utilization_ratio"", ""cat__previous_default_yes"", ""cat__previous_default_no"", ""num__age"", ""num__employment_years""]",10
finance,0.0,12,"[""num__loan_to_income"", ""num__annual_income"", ""num__credit_score"", ""num__loan_amount"", ""num__delinquency_count"", ""num__utilization_ratio"", ""cat__previous_default_yes"", ""cat__previous_default_no"", ""num__age"", ""num__employment_years"", ""num__savings_balance"", ""cat__housing_status_rent""]",12
finance,0.005,8,"[""num__loan_to_income"", ""num__annual_income"", ""num__credit_score"", ""num__loan_amount"", ""num__delinquency_count"", ""num__utilization_ratio"", ""cat__previous_default_yes"", ""cat__previous_default_no""]",8
finance,0.005,10,"[""num__loan_to_income"", ""num__annual_income"", ""num__credit_score"", ""num__loan_amount"", ""num__delinquency_count"", ""num__utilization_ratio"", ""cat__previous_default_yes"", ""cat__previous_default_no"", ""num__age"", ""num__employment_years""]",10
finance,0.005,12,"[""num__loan_to_income"", ""num__annual_income"", ""num__credit_score"", ""num__loan_amount"", ""num__delinquency_count"", ""num__utilization_ratio"", ""cat__previous_default_yes"", ""cat__previous_default_no"", ""num__age"", ""num__employment_years"", ""num__savings_balance"", ""cat__housing_status_rent""]",12
finance,0.01,8,"[""num__loan_to_income"", ""num__annual_income"", ""num__credit_score"", ""num__loan_amount"", ""num__delinquency_count"", ""num__utilization_ratio"", ""cat__previous_default_yes"", ""cat__previous_default_no""]",8
finance,0.01,10,"[""num__loan_to_income"", ""num__annual_income"", ""num__credit_score"", ""num__loan_amount"", ""num__delinquency_count"", ""num__utilization_ratio"", ""cat__previous_default_yes"", ""cat__previous_default_no"", ""num__age"", ""num__employment_years""]",10
finance,0.01,12,"[""num__loan_to_income"", ""num__annual_income"", ""num__credit_score"", ""num__loan_amount"", ""num__delinquency_count"", ""num__utilization_ratio"", ""cat__previous_default_yes"", ""cat__previous_default_no"", ""num__age"", ""num__employment_years"", ""num__savings_balance"", ""cat__housing_status_rent""]",12
finance,0.02,8,"[""num__loan_to_income"", ""num__annual_income"", ""num__credit_score"", ""num__loan_amount"", ""num__delinquency_count"", ""num__utilization_ratio"", ""cat__previous_default_yes"", ""cat__previous_default_no""]",8
finance,0.02,10,"[""num__loan_to_income"", ""num__annual_income"", ""num__credit_score"", ""num__loan_amount"", ""num__delinquency_count"", ""num__utilization_ratio"", ""cat__previous_default_yes"", ""cat__previous_default_no"", ""num__age"", ""num__employment_years""]",10
finance,0.02,12,"[""num__loan_to_income"", ""num__annual_income"", ""num__credit_score"", ""num__loan_amount"", ""num__delinquency_count"", ""num__utilization_ratio"", ""cat__previous_default_yes"", ""cat__previous_default_no"", ""num__age"", ""num__employment_years"", ""num__savings_balance"", ""cat__housing_status_rent""]",12
