dataset,method_a,method_b,top_k,overlap_count,jaccard
medical,rfe,sfs_forward,10,8,0.6666666666666666
medical,rfe,l1_logreg,10,9,0.8181818181818182
medical,rfe,rf_importance,10,8,0.6666666666666666
medical,rfe,permutation,10,7,0.5384615384615384
medical,sfs_forward,l1_logreg,10,7,0.5384615384615384
medical,sfs_forward,rf_importance,10,8,0.6666666666666666
medical,sfs_forward,permutation,10,7,0.5384615384615384
medical,l1_logreg,rf_importance,10,7,0.5384615384615384
medical,l1_logreg,permutation,10,7,0.5384615384615384
medical,rf_importance,permutation,10,9,0.8181818181818182
finance,rfe,sfs_forward,10,7,0.5384615384615384
finance,rfe,l1_logreg,10,8,0.6666666666666666
finance,rfe,rf_importance,10,8,0.6666666666666666
finance,rfe,permutation,10,8,0.6666666666666666
finance,sfs_forward,l1_logreg,10,6,0.42857142857142855
finance,sfs_forward,rf_importance,10,7,0.5384615384615384
finance,sfs_forward,permutation,10,7,0.5384615384615384
finance,l1_logreg,rf_importance,10,7,0.5384615384615384
finance,l1_logreg,permutation,10,8,0.6666666666666666
finance,rf_importance,permutation,10,7,0.5384615384615384
