dataset,method,feature,selected_count,total_runs,stability_rate
medical,rfe,num__age,3,3,1.0
medical,rfe,num__cholesterol,3,3,1.0
medical,rfe,num__systolic_bp,3,3,1.0
medical,rfe,num__glucose,0,3,0.0
medical,rfe,num__physical_activity_hours,3,3,1.0
medical,rfe,num__stress_level,0,3,0.0
medical,rfe,num__diastolic_bp,0,3,0.0
medical,rfe,num__resting_heart_rate,0,3,0.0
medical,rfe,num__bmi,0,3,0.0
medical,rfe,cat__smoking_status_never,3,3,1.0
medical,rfe,cat__sex_female,0,3,0.0
medical,rfe,cat__sex_male,3,3,1.0
medical,rfe,num__alcohol_units_weekly,0,3,0.0
medical,rfe,cat__smoking_status_former,3,3,1.0
medical,rfe,cat__smoking_status_current,0,3,0.0
medical,l1_logreg,num__age,3,3,1.0
medical,l1_logreg,num__cholesterol,3,3,1.0
medical,l1_logreg,num__systolic_bp,3,3,1.0
medical,l1_logreg,num__glucose,0,3,0.0
medical,l1_logreg,num__physical_activity_hours,3,3,1.0
medical,l1_logreg,num__stress_level,3,3,1.0
medical,l1_logreg,num__diastolic_bp,0,3,0.0
medical,l1_logreg,num__resting_heart_rate,0,3,0.0
medical,l1_logreg,num__bmi,0,3,0.0
medical,l1_logreg,cat__smoking_status_never,3,3,1.0
medical,l1_logreg,cat__sex_female,0,3,0.0
medical,l1_logreg,cat__sex_male,0,3,0.0
medical,l1_logreg,num__alcohol_units_weekly,0,3,0.0
medical,l1_logreg,cat__smoking_status_former,3,3,1.0
medical,l1_logreg,cat__smoking_status_current,0,3,0.0
finance,rfe,num__loan_to_income,3,3,1.0
finance,rfe,num__annual_income,3,3,1.0
finance,rfe,num__credit_score,3,3,1.0
finance,rfe,num__loan_amount,0,3,0.0
finance,rfe,num__delinquency_count,3,3,1.0
finance,rfe,num__utilization_ratio,3,3,1.0
finance,rfe,cat__previous_default_yes,3,3,1.0
finance,rfe,cat__previous_default_no,0,3,0.0
finance,rfe,num__age,0,3,0.0
finance,rfe,num__employment_years,0,3,0.0
finance,rfe,num__savings_balance,0,3,0.0
finance,rfe,cat__housing_status_rent,0,3,0.0
finance,rfe,num__open_credit_lines,0,3,0.0
finance,rfe,cat__housing_status_mortgage,3,3,1.0
finance,rfe,cat__employment_type_salaried,0,3,0.0
finance,l1_logreg,num__loan_to_income,3,3,1.0
finance,l1_logreg,num__annual_income,3,3,1.0
finance,l1_logreg,num__credit_score,3,3,1.0
finance,l1_logreg,num__loan_amount,0,3,0.0
finance,l1_logreg,num__delinquency_count,3,3,1.0
finance,l1_logreg,num__utilization_ratio,3,3,1.0
finance,l1_logreg,cat__previous_default_yes,3,3,1.0
finance,l1_logreg,cat__previous_default_no,0,3,0.0
finance,l1_logreg,num__age,0,3,0.0
finance,l1_logreg,num__employment_years,0,3,0.0
finance,l1_logreg,num__savings_balance,0,3,0.0
finance,l1_logreg,cat__housing_status_rent,0,3,0.0
finance,l1_logreg,num__open_credit_lines,0,3,0.0
finance,l1_logreg,cat__housing_status_mortgage,3,3,1.0
finance,l1_logreg,cat__employment_type_salaried,0,3,0.0
