dataset,model,feature_set,raw_feature,grid_min,grid_max,score_min,score_max,score_delta,trend
finance,RandomForest,set_B_tree,annual_income,31534.015,94086.29000000001,0.3098604135571825,0.5016146523814112,0.1917542388242287,non_monotonic
finance,RandomForest,set_B_tree,loan_to_income,0.10373,0.8053600000000005,0.3364124884012048,0.5250936215603578,0.18868113315915297,non_monotonic
finance,LogisticRegression,set_B_tree,loan_to_income,0.10373,0.8053600000000005,0.3936302106332466,0.5803660861307384,0.18673587549749177,non_decreasing
finance,LogisticRegression,set_B_tree,annual_income,31534.015,94086.29000000001,0.39023892432294627,0.5638086806100429,0.1735697562870966,non_increasing
finance,RandomForest,set_B_tree,loan_amount,7277.339,38788.776000000005,0.356281313853796,0.4595748640174785,0.10329355016368247,non_monotonic
finance,LogisticRegression,set_B_tree,loan_amount,7277.339,38788.776000000005,0.4432862529981118,0.5101521745509443,0.0668659215528325,non_decreasing
medical,LogisticRegression,set_A_wrapper,age,34.0,76.0,0.2067884178552571,0.6358571733720796,0.4290687555168225,non_decreasing
medical,LogisticRegression,set_A_wrapper,cholesterol,158.98000000000002,251.67,0.28883323950551143,0.5905913353051605,0.3017580957996491,non_decreasing
medical,LogisticRegression,set_A_wrapper,systolic_bp,105.18,151.9,0.28469998925582574,0.5532624765338457,0.26856248727802,non_decreasing
medical,RandomForest,set_A_wrapper,age,34.0,76.0,0.15577734697800275,0.4197451587651625,0.2639678117871598,non_monotonic
medical,RandomForest,set_A_wrapper,systolic_bp,105.18,151.9,0.22131092048216933,0.426140341618404,0.20482942113623465,non_monotonic
medical,RandomForest,set_A_wrapper,cholesterol,158.98000000000002,251.67,0.2136576227808306,0.40032848991360104,0.18667086713277042,non_monotonic
